date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:33:05	293/293	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2016%20Aug%202019%2008:03:04%20GMT	http://localhost/robots.txt		(from )
14:33:07	24072/24072	---MC-	200	added ('OK')	text/html	date:Fri,%2016%20Aug%202019%2008:03:05%20GMT	http://localhost/wordpress_mya/	C:/My%20Web%20Sites/ncs_mya/localhost/wordpress_mya/index.html	(from )
14:33:07	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Fri,%2016%20Aug%202019%2008:03:07%20GMT	http://localhost/wordpress_mya/xmlrpc.php	C:/My%20Web%20Sites/ncs_mya/localhost/wordpress_mya/xmlrpc.php	(from http://localhost/wordpress_mya/)
14:33:07	29295/29295	---M--	200	added ('OK')	text/css	etag:%22726f-5871851bf2700%22	http://localhost/wordpress_mya/wp-includes/css/dist/block-library/style.min.css?ver=5.2.2	C:/My%20Web%20Sites/ncs_mya/localhost/wordpress_mya/wp-includes/css/dist/block-library/style.minbb49.css	(from http://localhost/wordpress_mya/)
14:33:08	1495/1495	---M--	200	added ('OK')	text/css	etag:%225d7-5837805ca2000%22	http://localhost/wordpress_mya/wp-includes/css/dist/block-library/theme.min.css?ver=5.2.2	C:/My%20Web%20Sites/ncs_mya/localhost/wordpress_mya/wp-includes/css/dist/block-library/theme.minbb49.css	(from http://localhost/wordpress_mya/)
14:33:08	1785/1785	---M--	200	added ('OK')	application/rss+xml	etag:%225b07b8e769c8a6a9f1870e1d84f4f3f2%22	http://localhost/wordpress_mya/feed/	C:/My%20Web%20Sites/ncs_mya/localhost/wordpress_mya/feed/index.html	(from http://localhost/wordpress_mya/)
14:33:09	31045/31045	---M--	200	added ('OK')	text/css	etag:%227945-58f47de6a6d57%22	http://localhost/wordpress_mya/wp-content/themes/twentythirteen/genericons/genericons.css?ver=3.0.3	C:/My%20Web%20Sites/ncs_mya/localhost/wordpress_mya/wp-content/themes/twentythirteen/genericons/genericons19ce.css	(from http://localhost/wordpress_mya/)
14:33:10	57106/57106	---M--	200	added ('OK')	text/css	etag:%22df12-58f47de6b116a%22	http://localhost/wordpress_mya/wp-content/themes/twentythirteen/style.css?ver=2013-07-18	C:/My%20Web%20Sites/ncs_mya/localhost/wordpress_mya/wp-content/themes/twentythirteen/style4a02.css	(from http://localhost/wordpress_mya/)
14:33:11	12337/12337	---M--	200	added ('OK')	text/css	etag:%223031-58f47de6a231e%22	http://localhost/wordpress_mya/wp-content/themes/twentythirteen/css/blocks.css?ver=2018-12-30	C:/My%20Web%20Sites/ncs_mya/localhost/wordpress_mya/wp-content/themes/twentythirteen/css/blocks0329.css	(from http://localhost/wordpress_mya/)
14:33:11	14294/14294	---M--	200	added ('OK')	text/css	etag:%2237d6-58f461045eed6%22	http://localhost/wordpress_mya/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.3.0	C:/My%20Web%20Sites/ncs_mya/localhost/wordpress_mya/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min9a8d.css	(from http://localhost/wordpress_mya/)
14:33:11	18468/18468	---M--	200	added ('OK')	text/css	etag:%224824-58f4610456a04%22	http://localhost/wordpress_mya/wp-content/plugins/elementor/assets/lib/animations/animations.min.css?ver=2.6.7	C:/My%20Web%20Sites/ncs_mya/localhost/wordpress_mya/wp-content/plugins/elementor/assets/lib/animations/animations.mind047.css	(from http://localhost/wordpress_mya/)
14:33:14	5028/5028	---M--	200	added ('OK')	text/css	etag:%2213a4-58f463c7e0207%22	http://localhost/wordpress_mya/wp-content/uploads/elementor/css/global.css?ver=1564906708	C:/My%20Web%20Sites/ncs_mya/localhost/wordpress_mya/wp-content/uploads/elementor/css/global18ce.css	(from http://localhost/wordpress_mya/)
14:33:15	97628/97628	---M--	200	added ('OK')	text/css	etag:%2217d5c-58f46104450c0%22	http://localhost/wordpress_mya/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=2.6.7	C:/My%20Web%20Sites/ncs_mya/localhost/wordpress_mya/wp-content/plugins/elementor/assets/css/frontend.mind047.css	(from http://localhost/wordpress_mya/)
14:33:16	1765/1765	---M--	200	added ('OK')	application/rss+xml	etag:%229e624b597b9274afcb2d5f7cef85b7db%22	http://localhost/wordpress_mya/comments/feed/	C:/My%20Web%20Sites/ncs_mya/localhost/wordpress_mya/comments/feed/index.html	(from http://localhost/wordpress_mya/)
14:33:16	846/846	---M--	200	added ('OK')	text/xml	date:Fri,%2016%20Aug%202019%2008:03:16%20GMT	http://localhost/wordpress_mya/xmlrpc.php?rsd	C:/My%20Web%20Sites/ncs_mya/localhost/wordpress_mya/xmlrpc0db0.php	(from http://localhost/wordpress_mya/)
14:33:16	1045/1045	---M--	200	added ('OK')	application/xml	etag:%22415-4ed42132a3400%22	http://localhost/wordpress_mya/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/ncs_mya/localhost/wordpress_mya/wp-includes/wlwmanifest.xml	(from http://localhost/wordpress_mya/)
14:33:17	10056/10056	---M--	200	added ('OK')	application/javascript	etag:%222748-5333a83541a00%22	http://localhost/wordpress_mya/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/My%20Web%20Sites/ncs_mya/localhost/wordpress_mya/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://localhost/wordpress_mya/)
14:33:17	2841/2841	---M--	200	added ('OK')	application/json	date:Fri,%2016%20Aug%202019%2008:03:16%20GMT	http://localhost/wordpress_mya/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fwordpress_mya%2F	C:/My%20Web%20Sites/ncs_mya/localhost/wordpress_mya/wp-json/oembed/1.0/embeda3fb.json	(from http://localhost/wordpress_mya/)
14:33:18	3158/3158	---M--	200	added ('OK')	text/xml	date:Fri,%2016%20Aug%202019%2008:03:17%20GMT	http://localhost/wordpress_mya/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fwordpress_mya%2F&format=xml	C:/My%20Web%20Sites/ncs_mya/localhost/wordpress_mya/wp-json/oembed/1.0/embed5a9a	(from http://localhost/wordpress_mya/)
14:33:22	29439/29439	---M--	200	added ('OK')	image/png	etag:%2272ff-59027b7cf0395%22	http://localhost/wordpress_mya/wp-content/uploads/2019/08/cropped-banner03.png	C:/My%20Web%20Sites/ncs_mya/localhost/wordpress_mya/wp-content/uploads/2019/08/cropped-banner03.png	(from http://localhost/wordpress_mya/)
14:33:24	34873/34873	---MC-	200	added ('OK')	text/html	date:Fri,%2016%20Aug%202019%2008:03:22%20GMT	http://localhost/wordpress_mya/about/	C:/My%20Web%20Sites/ncs_mya/localhost/wordpress_mya/about/index.html	(from http://localhost/wordpress_mya/)
14:33:24	3151/3151	---M--	200	added ('OK')	text/html	date:Fri,%2016%20Aug%202019%2008:03:24%20GMT	http://localhost/wordpress_mya/wp-login.php	C:/My%20Web%20Sites/ncs_mya/localhost/wordpress_mya/wp-login.html	(from http://localhost/wordpress_mya/)
14:33:26	22572/22572	---MC-	200	added ('OK')	text/html	date:Fri,%2016%20Aug%202019%2008:03:24%20GMT	http://localhost/wordpress_mya/download/	C:/My%20Web%20Sites/ncs_mya/localhost/wordpress_mya/download/index.html	(from http://localhost/wordpress_mya/)
14:33:28	8113/8113	---M--	200	added ('OK')	application/javascript	etag:%221fb1-56cd73a186900%22	http://localhost/wordpress_mya/wp-includes/js/imagesloaded.min.js?ver=3.2.0	C:/My%20Web%20Sites/ncs_mya/localhost/wordpress_mya/wp-includes/js/imagesloaded.min55a0.js	(from http://localhost/wordpress_mya/)
14:33:29	24004/24004	---MC-	200	added ('OK')	text/html	date:Fri,%2016%20Aug%202019%2008:03:28%20GMT	http://localhost/wordpress_mya/ncs-guidelines/	C:/My%20Web%20Sites/ncs_mya/localhost/wordpress_mya/ncs-guidelines/index.html	(from http://localhost/wordpress_mya/)
14:33:30	75990/75990	---MC-	200	added ('OK')	application/json	date:Fri,%2016%20Aug%202019%2008:03:16%20GMT	http://localhost/wordpress_mya/wp-json/	C:/My%20Web%20Sites/ncs_mya/localhost/wordpress_mya/wp-json/index.html	(from http://localhost/wordpress_mya/)
14:33:31	151125/151125	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd48ed-24e55%22	https://cdnjs.cloudflare.com/ajax/libs/d3/3.5.5/d3.min.js	C:/My%20Web%20Sites/ncs_mya/cdnjs.cloudflare.com/ajax/libs/d3/3.5.5/d3.min.js	(from http://localhost/wordpress_mya/)
14:33:32	96873/96873	---M--	200	added ('OK')	application/javascript	etag:%2217a69-58912fd33cb80%22	http://localhost/wordpress_mya/wp-includes/js/jquery/jquery.js?ver=1.12.4-wp	C:/My%20Web%20Sites/ncs_mya/localhost/wordpress_mya/wp-includes/js/jquery/jquery4a5f.js	(from http://localhost/wordpress_mya/)
14:33:32	21831/21831	---MC-	200	added ('OK')	text/html	date:Fri,%2016%20Aug%202019%2008:03:30%20GMT	http://localhost/wordpress_mya/desktop-tools/	C:/My%20Web%20Sites/ncs_mya/localhost/wordpress_mya/desktop-tools/index.html	(from http://localhost/wordpress_mya/)
14:33:32	1819/1819	---M--	200	added ('OK')	application/javascript	etag:%2271b-53a57ad714280%22	http://localhost/wordpress_mya/wp-includes/js/jquery/jquery.masonry.min.js?ver=3.1.2b	C:/My%20Web%20Sites/ncs_mya/localhost/wordpress_mya/wp-includes/js/jquery/jquery.masonry.minef70.js	(from http://localhost/wordpress_mya/)
14:33:34	4766/4766	---M--	200	added ('OK')	application/javascript	etag:%22129e-58f47de6aea59%22	http://localhost/wordpress_mya/wp-content/themes/twentythirteen/js/functions.js?ver=20160717	C:/My%20Web%20Sites/ncs_mya/localhost/wordpress_mya/wp-content/themes/twentythirteen/js/functionsf84f.js	(from http://localhost/wordpress_mya/)
14:33:34	26057/26057	---MC-	200	added ('OK')	text/html	date:Fri,%2016%20Aug%202019%2008:03:32%20GMT	http://localhost/wordpress_mya/faqs/	C:/My%20Web%20Sites/ncs_mya/localhost/wordpress_mya/faqs/index.html	(from http://localhost/wordpress_mya/)
14:33:34	1403/1403	---M--	200	added ('OK')	application/javascript	etag:%2257b-574a0ee59b880%22	http://localhost/wordpress_mya/wp-includes/js/wp-embed.min.js?ver=5.2.2	C:/My%20Web%20Sites/ncs_mya/localhost/wordpress_mya/wp-includes/js/wp-embed.minbb49.js	(from http://localhost/wordpress_mya/)
14:33:34	28953/28953	---M--	200	added ('OK')	application/javascript	etag:%227119-56cd73a186900%22	http://localhost/wordpress_mya/wp-includes/js/masonry.min.js?ver=3.3.2	C:/My%20Web%20Sites/ncs_mya/localhost/wordpress_mya/wp-includes/js/masonry.mind617.js	(from http://localhost/wordpress_mya/)
14:33:34	20021/20021	---MC-	200	added ('OK')	text/html	date:Fri,%2016%20Aug%202019%2008:03:32%20GMT	http://localhost/wordpress_mya/2019/08/04/hello-world/	C:/My%20Web%20Sites/ncs_mya/localhost/wordpress_mya/2019/08/04/hello-world/index.html	(from http://localhost/wordpress_mya/)
14:33:36	15656/15656	---MC-	200	added ('OK')	text/html	date:Fri,%2016%20Aug%202019%2008:03:34%20GMT	http://localhost/wordpress_mya/2019/08/	C:/My%20Web%20Sites/ncs_mya/localhost/wordpress_mya/2019/08/index.html	(from http://localhost/wordpress_mya/)
14:33:37	15979/15979	---MC-	200	added ('OK')	text/html	date:Fri,%2016%20Aug%202019%2008:03:34%20GMT	http://localhost/wordpress_mya/category/uncategorized/	C:/My%20Web%20Sites/ncs_mya/localhost/wordpress_mya/category/uncategorized/index.html	(from http://localhost/wordpress_mya/)
14:33:37	6527/6527	---M--	200	added ('OK')	application/javascript	etag:%22197f-540598c51ee80%22	http://localhost/wordpress_mya/wp-includes/js/jquery/ui/position.min.js?ver=1.11.4	C:/My%20Web%20Sites/ncs_mya/localhost/wordpress_mya/wp-includes/js/jquery/ui/position.mine899.js	(from http://localhost/wordpress_mya/)
14:33:38	10681/10681	---M--	200	added ('OK')	application/javascript	etag:%2229b9-58f46104594fd%22	http://localhost/wordpress_mya/wp-content/plugins/elementor/assets/lib/dialog/dialog.min.js?ver=4.7.3	C:/My%20Web%20Sites/ncs_mya/localhost/wordpress_mya/wp-content/plugins/elementor/assets/lib/dialog/dialog.minfe9d.js	(from http://localhost/wordpress_mya/)
