date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:22:24	293/293	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2016%20Aug%202019%2008:52:24%20GMT	http://localhost/robots.txt		(from )
15:22:26	24089/24089	U--MC-	200	updated ('OK')	text/html	date:Fri,%2016%20Aug%202019%2008:52:24%20GMT	http://localhost/wordpress_mya/	C:/My%20Web%20Sites/ncs_mya/localhost/wordpress_mya/index.html	(from )
15:22:26	29295/29295	U-----	200	untouched ('OK')	text/css	etag:%22726f-5871851bf2700%22	http://localhost/wordpress_mya/wp-includes/css/dist/block-library/style.min.css?ver=5.2.2	C:/My%20Web%20Sites/ncs_mya/localhost/wordpress_mya/wp-includes/css/dist/block-library/style.minbb49.css	(from http://localhost/wordpress_mya/)
15:22:26	1495/1495	U-----	200	untouched ('OK')	text/css	etag:%225d7-5837805ca2000%22	http://localhost/wordpress_mya/wp-includes/css/dist/block-library/theme.min.css?ver=5.2.2	C:/My%20Web%20Sites/ncs_mya/localhost/wordpress_mya/wp-includes/css/dist/block-library/theme.minbb49.css	(from http://localhost/wordpress_mya/)
15:22:27	1765/1765	U-----	200	untouched ('')	application/rss+xml	etag:%229e624b597b9274afcb2d5f7cef85b7db%22	http://localhost/wordpress_mya/comments/feed/	C:/My%20Web%20Sites/ncs_mya/localhost/wordpress_mya/comments/feed/index.html	(from http://localhost/wordpress_mya/)
15:22:27	31045/31045	U-----	200	untouched ('OK')	text/css	etag:%227945-58f47de6a6d57%22	http://localhost/wordpress_mya/wp-content/themes/twentythirteen/genericons/genericons.css?ver=3.0.3	C:/My%20Web%20Sites/ncs_mya/localhost/wordpress_mya/wp-content/themes/twentythirteen/genericons/genericons19ce.css	(from http://localhost/wordpress_mya/)
15:22:27	1785/1785	U-----	200	untouched ('')	application/rss+xml	etag:%225b07b8e769c8a6a9f1870e1d84f4f3f2%22	http://localhost/wordpress_mya/feed/	C:/My%20Web%20Sites/ncs_mya/localhost/wordpress_mya/feed/index.html	(from http://localhost/wordpress_mya/)
15:22:27	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Fri,%2016%20Aug%202019%2008:52:26%20GMT	http://localhost/wordpress_mya/xmlrpc.php	C:/My%20Web%20Sites/ncs_mya/localhost/wordpress_mya/xmlrpc.php	(from http://localhost/wordpress_mya/)
15:22:27	57106/57106	U-----	200	untouched ('OK')	text/css	etag:%22df12-58f47de6b116a%22	http://localhost/wordpress_mya/wp-content/themes/twentythirteen/style.css?ver=2013-07-18	C:/My%20Web%20Sites/ncs_mya/localhost/wordpress_mya/wp-content/themes/twentythirteen/style4a02.css	(from http://localhost/wordpress_mya/)
15:22:27	12337/12337	U-----	200	untouched ('OK')	text/css	etag:%223031-58f47de6a231e%22	http://localhost/wordpress_mya/wp-content/themes/twentythirteen/css/blocks.css?ver=2018-12-30	C:/My%20Web%20Sites/ncs_mya/localhost/wordpress_mya/wp-content/themes/twentythirteen/css/blocks0329.css	(from http://localhost/wordpress_mya/)
